src_ip,src_port,dst_ip,dst_port,proto,service,conn_state,src_bytes,dst_bytes,duration,anomaly_score,label,type
192.168.1.195,53669,192.229.232.240,80,tcp,http,SF,87200,42137269,135.928986,0.2826,0,normal
192.168.1.195,53669,192.229.232.240,80,tcp,http,SF,87200,42137269,135.928986,0.2826,0,normal
192.168.1.190,37814,172.217.25.138,443,tcp,ssl,SF,2061,4562738,110.954185,0.2769,0,normal
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50152,2a01:111:2003::50,80,tcp,http,SF,93396,30964998,107.612992,0.2769,0,normal
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50152,2a01:111:2003::50,80,tcp,http,SF,93396,30964998,107.612992,0.2769,0,normal
192.168.1.193,49425,172.217.25.142,443,tcp,ssl,SF,75445,1538109,185.05358,0.2742,0,normal
192.168.1.195,53661,192.229.232.240,80,tcp,http,SF,58595,23064350,86.878888,0.2739,0,normal
192.168.1.193,49393,172.217.25.142,443,tcp,ssl,SF,34901,1592398,183.069423,0.2723,0,normal
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50157,2a01:111:2003::50,80,tcp,http,SF,41871,12444445,48.702647,0.272,0,normal
192.168.1.31,32842,216.58.199.34,443,tcp,ssl,SF,19496,124896,223.094021,0.2682,1,mitm
192.168.1.193,49362,192.168.1.33,8080,tcp,-,S1,254231,612066,92891.96333,0.2666,1,backdoor
192.168.1.30,38110,173.241.248.220,443,tcp,ssl,SF,3515,6314,187.110956,0.2617,1,dos
192.168.1.30,39180,18.184.104.180,8080,tcp,-,SF,1286281,749633,1123.254189,0.2607,1,ddos
192.168.1.31,38852,52.59.177.21,8080,tcp,-,OTH,1036995,604190,1286.812277,0.2607,1,ddos
192.168.1.193,49247,192.168.1.33,8080,tcp,-,SF,7991,415170,35.452884,0.2578,1,backdoor
192.168.1.195,52472,52.230.84.217,443,tcp,ssl,S1,6791,10052,8276.602116,0.2567,0,normal
192.168.1.31,44032,107.154.150.167,443,tcp,ssl,SF,1926,80361,183.025836,0.2559,1,mitm
192.168.1.30,37830,52.196.227.95,443,tcp,ssl,SF,2631,12179,187.599148,0.254,1,dos
192.168.1.195,51581,34.209.222.186,443,tcp,ssl,S3,819,72157,159.791333,0.2536,0,normal
192.168.1.195,52361,52.230.7.59,443,tcp,ssl,SF,3841,6772,2525.115937,0.2532,0,normal
192.168.1.195,53658,192.229.232.240,80,tcp,http,RSTO,1333,1107430,1.337356,0.2494,0,normal
192.168.1.31,60546,192.168.1.152,80,tcp,-,S3,359122580,359159263,303.259946,0.2489,1,ddos
192.168.1.31,40250,192.168.1.184,443,tcp,ssl,S3,892344222,892575820,392.608135,0.247,1,ddos
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50128,2a01:111:2003::50,80,tcp,http,SF,680,1049758,11.653387,0.2446,0,normal
192.168.1.31,48970,101.119.11.17,80,tcp,http,S2,2304,3073,299.714124,0.244,1,mitm
192.168.1.34,50336,104.74.27.78,443,tcp,ssl,SF,4598,6528,120.680118,0.2435,1,mitm
192.168.1.190,44891,192.168.1.152,1880,tcp,http,SF,1240,654446,6.819151,0.2425,0,normal
192.168.1.152,47160,54.187.116.27,443,tcp,ssl,SF,943,5412,116.277257,0.2422,0,normal
192.168.1.30,60136,192.168.1.152,1880,tcp,-,SF,1238,549362,9.858615,0.2415,1,dos
192.168.1.180,60248,192.168.1.152,1880,tcp,http,SF,12213,831372,18.314725,0.2414,0,normal
192.168.1.190,44915,192.168.1.152,1880,tcp,http,SF,1013,584410,6.15258,0.2412,0,normal
192.168.1.195,53646,13.107.4.50,80,tcp,http,SF,1313,1170019,1.39576,0.2394,0,normal
192.168.1.34,40326,157.240.8.18,443,tcp,ssl,SF,1313,4478,180.310948,0.2391,1,mitm
192.168.1.34,48098,216.58.200.98,443,tcp,ssl,SF,15287,62172,16.253196,0.2388,1,mitm
