src_ip,src_port,dst_ip,dst_port,proto,service,conn_state,src_bytes,dst_bytes,duration,attack_type,anomaly_score,severity,true_label,llm_report
192.168.1.195,53669,192.229.232.240,80,tcp,http,SF,87200,42137269,135.928986,normal,0.2826,HIGH,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: HIGH
BEHAVIOR: The device with IP address 192.168.1.195 has engaged in an unusual amount of HTTP traffic (4,213,7269 bytes received) over a prolonged duration (135.93 seconds) to the destination IP 192.229.232.240, which deviates from its typical network behavior. This activity may suggest data exfiltration disguised as normal traffic or a misconfigured device.
RISK REASON: The high anomaly score of 0.2826 and the significant deviation from the baseline traffic pattern confirm this as a HIGH threat.
ACTION: Immediate investigation is required to determine the cause of this anomalous behavior, potentially involving network monitoring, device inspection, or configuration review."
192.168.1.195,53669,192.229.232.240,80,tcp,http,SF,87200,42137269,135.928986,normal,0.2826,HIGH,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: HIGH
BEHAVIOR: The device with IP address 192.168.1.195 has engaged in an unusual HTTP session of 135.93 seconds duration, sending 87,200 bytes and receiving a large volume of 4,213,7269 bytes. This behavior deviates from the baseline, suggesting potential data exfiltration or misconfiguration.
RISK REASON: The high anomaly score (0.2826) and the significant deviation in byte volumes confirm this as a HIGH threat.
ACTION: Immediate investigation is required to determine if this traffic represents a security breach, misconfigured device, or other unusual activity."
192.168.1.190,37814,172.217.25.138,443,tcp,ssl,SF,2061,4562738,110.954185,normal,0.2769,HIGH,0,LLM analysis unavailable after retries
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50152,2a01:111:2003::50,80,tcp,http,SF,93396,30964998,107.612992,normal,0.2769,HIGH,0,LLM analysis unavailable after retries
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50152,2a01:111:2003::50,80,tcp,http,SF,93396,30964998,107.612992,normal,0.2769,HIGH,0,LLM analysis unavailable after retries
192.168.1.193,49425,172.217.25.142,443,tcp,ssl,SF,75445,1538109,185.05358,normal,0.2742,HIGH,0,LLM analysis unavailable after retries
192.168.1.195,53661,192.229.232.240,80,tcp,http,SF,58595,23064350,86.878888,normal,0.2739,HIGH,0,LLM analysis unavailable after retries
192.168.1.193,49393,172.217.25.142,443,tcp,ssl,SF,34901,1592398,183.069423,normal,0.2723,HIGH,0,LLM analysis unavailable after retries
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50157,2a01:111:2003::50,80,tcp,http,SF,41871,12444445,48.702647,normal,0.272,HIGH,0,LLM analysis unavailable after retries
192.168.1.31,32842,216.58.199.34,443,tcp,ssl,SF,19496,124896,223.094021,mitm,0.2682,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.193,49362,192.168.1.33,8080,tcp,-,S1,254231,612066,92891.96333,backdoor,0.2666,HIGH,1,LLM analysis unavailable after retries
192.168.1.30,38110,173.241.248.220,443,tcp,ssl,SF,3515,6314,187.110956,dos,0.2617,HIGH,1,LLM analysis unavailable after retries
192.168.1.30,39180,18.184.104.180,8080,tcp,-,SF,1286281,749633,1123.254189,ddos,0.2607,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.31,38852,52.59.177.21,8080,tcp,-,OTH,1036995,604190,1286.812277,ddos,0.2607,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.193,49247,192.168.1.33,8080,tcp,-,SF,7991,415170,35.452884,backdoor,0.2578,HIGH,1,"THREAT TYPE: Backdoor Attack
SEVERITY: HIGH
BEHAVIOR: The device with IP 192.168.1.193 initiated an unauthorized remote access attempt on port 8080, which is unusual and suspicious. The sustained duration of the connection (35.45 seconds) and high volume of data transferred (7991 bytes sent and 415170 bytes received) indicate potential malicious activity.
RISK REASON: The anomaly score of 0.2578, along with the traffic pattern, confirms this as a HIGH threat due to the risk of an attacker gaining persistent control over the compromised IoT device.
ACTION: Immediate investigation is required to identify the source of the threat and take appropriate actions to secure the network and the affected device."
192.168.1.195,52472,52.230.84.217,443,tcp,ssl,S1,6791,10052,8276.602116,normal,0.2567,HIGH,0,LLM analysis unavailable after retries
192.168.1.31,44032,107.154.150.167,443,tcp,ssl,SF,1926,80361,183.025836,mitm,0.2559,CRITICAL,1,"THREAT TYPE: Man-in-the-Middle (MitM)
SEVERITY: CRITICAL
BEHAVIOR: The device with IP address 192.168.1.31 is engaging in an SSL encrypted communication with the destination IP 107.154.150.167, which shows signs of a MitM attack as indicated by the detected type. The large amount of data transferred (Bytes Received: 80361) and the duration of the connection (183.03 seconds) suggest that the device's communication may be intercepted and potentially modified.
RISK REASON: The anomaly score of 0.2559 indicates a higher level of suspicion, and the unusual traffic pattern further confirms this as a CRITICAL threat.
ACTION: Immediately investigate the device (192.168.1.31) for any signs of ARP anomalies, unusual relay patterns, or duplicate flows between devices. Implement network segmentation or traffic filtering to isolate the device and prevent further data interception."
192.168.1.30,37830,52.196.227.95,443,tcp,ssl,SF,2631,12179,187.599148,dos,0.254,HIGH,1,LLM analysis unavailable after retries
192.168.1.195,51581,34.209.222.186,443,tcp,ssl,S3,819,72157,159.791333,normal,0.2536,HIGH,0,LLM analysis unavailable after retries
192.168.1.195,52361,52.230.7.59,443,tcp,ssl,SF,3841,6772,2525.115937,normal,0.2532,HIGH,0,LLM analysis unavailable after retries
192.168.1.195,53658,192.229.232.240,80,tcp,http,RSTO,1333,1107430,1.337356,normal,0.2494,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.31,60546,192.168.1.152,80,tcp,-,S3,359122580,359159263,303.259946,ddos,0.2489,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.31,40250,192.168.1.184,443,tcp,ssl,S3,892344222,892575820,392.608135,ddos,0.247,CRITICAL,1,LLM analysis unavailable after retries
2405:6e00:10ce:2c00:9064:17:85d2:57d4,50128,2a01:111:2003::50,80,tcp,http,SF,680,1049758,11.653387,normal,0.2446,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.31,48970,101.119.11.17,80,tcp,http,S2,2304,3073,299.714124,mitm,0.244,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.34,50336,104.74.27.78,443,tcp,ssl,SF,4598,6528,120.680118,mitm,0.2435,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.190,44891,192.168.1.152,1880,tcp,http,SF,1240,654446,6.819151,normal,0.2425,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.152,47160,54.187.116.27,443,tcp,ssl,SF,943,5412,116.277257,normal,0.2422,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.30,60136,192.168.1.152,1880,tcp,-,SF,1238,549362,9.858615,dos,0.2415,HIGH,1,"THREAT TYPE: Denial of Service (DoS)
SEVERITY: HIGH
BEHAVIOR: The device with IP 192.168.1.30 is sending a large amount of traffic to the destination IP 192.168.1.152 on port 1880, with a high number of failed connection states and a long duration. This behavior suggests a single-source attack aimed at disrupting service availability.
RISK REASON: The anomaly score of 0.2415 indicates a higher level of suspicion, and the traffic pattern exhibits characteristics consistent with a Denial of Service (DoS) attack.
ACTION: Immediate investigation is required to identify the source of this traffic and implement measures to mitigate the ongoing threat."
